Comment,Designator,Footprint,LCSC
47,"R9,R10,R11",R_0402_1005Metric,C25118
"100nF,16V,X7R ","C2,C4,C7,C8,C9,C10,C11,C12,C13,C14",C_0402_1005Metric,C1525
RP2040,U1,kicad_lceda:LQFN-56_L7.0-W7.0-P0.4-EP,C2040
1k,"R1,R5",R_0402_1005Metric,C11702
EVPAWED40,SW1,kicad_lceda:KEY-SMD_L3.0-W2.0-LS3.5,C2858607
10k,"R2,R3,R6,R12",R_0402_1005Metric,C25744
W25Q16JVUXIQ,U2,kicad_lceda:USON-8_L3.0-W2.0-P0.50-BL-EP,C2843335
XL-1010RGBC-WS2812B,U5,kicad_lceda:LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,C5349953
"27pF,50V,C0G ","C1,C3",C_0402_1005Metric,C1557
SMD-3225_4P_12.000MHZ_9PF,X1,kicad_lceda:OSC-SMD_4P-L3.2-W2.5-BL,C362368
"1uF,25V,X5R ","C5,C6",C_0402_1005Metric,C52923
